Locus,mean,CI2.5%,CI97.5,std
1,0.006390086343995385,-0.07799702453579584,0.11566991355014507,0.044475638751914556
2,-0.012120136895457349,-0.1353517596011847,0.08173001284167468,0.049703286841076895
3,-0.003815509796090618,-0.10223035069644525,0.0915116859651421,0.044027522784958764
4,-0.009758046849567529,-0.10385505324319781,0.07556806556841525,0.04097253284224299
5,-0.038904272371139186,-0.14935433711302284,0.0303965064940554,0.04733144843920688
6,-0.004210006961795371,-0.07948253449693767,0.0684988763715438,0.03363551572242105
7,-0.058689136244920996,-0.1987447531417489,0.02233281158588362,0.060842256757543726
8,-0.041988606546296645,-0.17262835233046697,0.034823762294579244,0.054184224397457986
9,0.027301500959025858,-0.065390680878736,0.18278032183721182,0.06053481035723031
10,0.039693649506884914,-0.056368477676311396,0.22379798240118576,0.07082726922188538
11,0.004976668430096275,-0.09929692066304138,0.1288103916053949,0.05232398755249719
12,-0.044456937964186365,-0.23983287407751672,0.052443491696084206,0.07379703732852845
13,0.037075984954908756,-0.06563779989996675,0.24119689679480777,0.07733877121674856
14,-0.0005106068984273893,-0.11517469068295645,0.12016493159988581,0.053622340536258334
15,-0.002063053362501634,-0.11354475427394072,0.11241189694605994,0.05118214118937952
16,0.0571460264760151,-0.03612506069022702,0.2248528146841625,0.07042709386220121
17,-0.019086655016331985,-0.16343311045729725,0.09057740441278038,0.05840393861063625
18,-0.00021525608467009365,-0.10858484969616874,0.12281205238853306,0.052377522158390546
19,-0.0255267237962613,-0.1734174509662855,0.06598578428659303,0.05700508275123571
20,-0.04111862284249346,-0.2125108319126815,0.04759632902729429,0.06436973679543133
21,-0.018801995363466148,-0.14202261599609536,0.06903493010517074,0.0495171929081035
22,-0.03409809231932929,-0.17345553410080422,0.0507678623777287,0.05585238087995552
23,-0.030463920832348352,-0.2026164401055842,0.05411318979934625,0.05915218277722029
24,-0.0003471467181404308,-0.10278419945918081,0.10707421616077435,0.04761238505046869
25,0.0007187369322784995,-0.0973647108543473,0.10627184108890327,0.04640734483502752
26,-0.015240357371015135,-0.092267420283695,0.04356717541071848,0.0324208414896905
27,-0.0018971035415812501,-0.07711838956544714,0.07458339813139277,0.0343829222852744
