Locus,mean,CI2.5%,CI97.5,std
1,-0.0003311072384004939,-0.04617397545215122,0.04840509957323377,0.021290569591164633
2,-0.001518464564745286,-0.052864679958336026,0.041945763523096244,0.021625562723510253
3,-0.001555725577651474,-0.05355175011010885,0.04350068716982073,0.022180420115711596
4,-0.005966303523593355,-0.08947746198281405,0.03187663475029859,0.027858688447941714
5,-0.022821388453441956,-0.17199806738721865,0.010997776746797987,0.049035798699149404
6,-0.008357814772585515,-0.09516545729555635,0.019355851657949102,0.027514033714762364
7,-0.013407997961609443,-0.124527830798761,0.013650674269027264,0.035010374453220354
8,-0.009776081827835266,-0.11076361016039657,0.020074874230710697,0.03163904902681641
9,0.004279039562869059,-0.036089228840814676,0.09016217934492722,0.029547400348131535
10,0.0018395992134266539,-0.04544183455434892,0.07402487973689673,0.027657954683111816
11,0.002391079362363887,-0.04375254326292045,0.07858236638932066,0.02842179040684421
12,-0.00023604448768915718,-0.05284178863327613,0.05739092645065268,0.025695501811612894
13,0.0015518614420723346,-0.046661388980946246,0.07260133261228172,0.027822835174499638
14,-0.0012374743728320334,-0.05910451798204605,0.053431643726303366,0.026143452503087732
15,-0.002308091996991786,-0.06605635256904387,0.04763286588508387,0.026853790017462693
16,0.0025610755209655722,-0.03942857875803874,0.07571015469810487,0.025527417650939663
17,-0.005511067316295947,-0.0842579395247846,0.03270391438499487,0.027280210599841734
18,-0.00521497334334233,-0.08387878693438712,0.03558354621513097,0.028110875219309016
19,0.002426998343806001,-0.04028903645283693,0.07481047016789386,0.02602315850011531
20,-0.002456327809816682,-0.06218651341450426,0.04263277175413153,0.023820106750687846
21,-0.004336217078527671,-0.07397951802417853,0.033848829390097354,0.025578050842320576
22,-0.00729593197948392,-0.0935462758167694,0.02511408783411353,0.028803215120128206
23,-0.010748622801561055,-0.1233378203155477,0.02619609630620042,0.03559678365510439
24,-0.00038768581540713154,-0.05182563374426617,0.05485005906963523,0.024348363390373374
25,-0.0006366997743552553,-0.05267893436910639,0.053059998924631,0.02403170447891331
26,-0.0022583450084470496,-0.05296964943064017,0.03380066676871071,0.019170150203940313
27,-0.0028851870040893543,-0.09258500450216783,0.07388421311329978,0.034562762548460045
28,-0.007180896035211466,-0.09001336438476756,0.023691691345707942,0.027087098090634365
29,5.924741088054872e-05,-0.045137757558755515,0.051877842425450724,0.022322803215376642
30,0.0005082016389772114,-0.04486333032993367,0.05652978259882195,0.023646556309463454
