,mean,CI2.5%,CI97.5%
1,-0.12412586339973561,-0.15749552104718878,-0.03685938247161483
2,-0.15346589565985935,-0.2012843557177366,-0.05505649940950304
3,-0.10848459079594903,-0.14295219631410377,-0.01862517170208338
4,-0.3373279018479036,-0.40404080731396547,-0.16606857470931655
5,-0.302095459422927,-0.34086150257153247,-0.20617483973947998
6,-0.1332623446566026,-0.16626092605946022,-0.03459901990063062
7,-0.16311160464608995,-0.20643214961168488,-0.05338677984335456
8,-0.11063430667275834,-0.14614250463441197,0.013746989749871121
9,0.04374503141909648,0.008881912768452543,0.12344173518098216
10,0.028543285582279646,-0.010370365205033052,0.12027555108389698
11,-0.008447305635832326,-0.0370375101034242,0.06635444720935288
12,0.015895878920091703,-0.016667094287318593,0.10200625631744666
13,0.023922434245875368,7.081580457121706e-05,0.09015939573996185
14,-0.085490120423657,-0.12366337854166357,0.008157889188014897
15,-0.14655750491427758,-0.17991686445256783,-0.046962562041311634
16,0.03044011736262446,-0.006221095375132005,0.13577986161422548
17,-0.20493559023302982,-0.24185541712892933,-0.11892350090106826
18,-0.19388289261553399,-0.22758983336118613,-0.09046523521364319
19,-0.012863284338902064,-0.04703960662394091,0.10095950355921643
20,-0.2870423124713026,-0.33145421033793826,-0.16708549804973782
21,-0.006039036799655186,-0.03457727510085719,0.07272848012561368
22,-0.18237731042854438,-0.21165409179348285,-0.08376195509991109
23,-0.2403212500217208,-0.27807030724756493,-0.1283829929947061
24,0.03744916806510366,0.0050075083159468875,0.14495480039623368
25,0.03204672377083596,-0.00014187733391599067,0.13304345295475778
26,-0.12503568374316865,-0.16523485142269223,-0.03951995000579732
27,-0.213965827346715,-0.26026450066121365,-0.07079592732978227
28,-0.18658248392835083,-0.2250960582456768,-0.07989651481600477
29,-0.030634156291556157,-0.06051992105685101,0.05861197537280571
30,-0.07560382480043275,-0.10984479535277306,0.019085120569064227
31,-0.0694629136420298,-0.10280137072395654,0.011169536414109407
32,-0.1918333527565483,-0.22316042079168813,-0.0858250166489144
33,-0.15743851344122992,-0.18053228518468753,-0.07631726940975835
34,-0.012399760776231377,-0.05122348998573866,0.07880090892432397
35,0.03887787084593257,0.012151878454141361,0.12485069164879026
36,-0.22334721909227145,-0.24611700607026576,-0.15952501955593199
37,-0.14510553791878533,-0.18939207309221348,-0.031387977962808934
38,-0.04600207068331403,-0.07297973703529423,0.06591634337872564
39,-0.25452399410816035,-0.29223989769720643,-0.13751240332984518
40,-0.03683025620016189,-0.07460205903225729,0.0549954256051572
41,-0.012301510028717728,-0.03819608308756553,0.0660012311073787
42,-0.027983709479665414,-0.0650855914016257,0.06600316257782239
43,-0.1314450334523231,-0.1755192780972435,-0.028719930852238073
44,-0.15827899542710877,-0.20400446929451874,-0.026871826016354784
45,0.01506810407017406,-0.013620602058732605,0.10117675321689434
46,-0.06268860459994278,-0.09704606731990748,0.01946059194912833
47,0.01740112286279973,-0.022207748273918353,0.12084276586800502
48,-0.08651365630809071,-0.12303900544062289,0.020532254798980167
49,-0.030941629332135137,-0.06659488057843904,0.05721134486899819
50,-0.03343002583860224,-0.06675683254422055,0.06317559189521642
51,-0.03275180136358686,-0.06254020631041582,0.05491853189920559
52,-0.051027106300917176,-0.08354133885060229,0.05315236205711821
53,-0.1669913351607858,-0.20050614566732625,-0.0827472008311413
54,0.20154044982651914,0.17400273014429268,0.27601257826735703
55,-0.36379178628692704,-0.395076810787771,-0.26064711855501793
56,-0.362697434694247,-0.38839332994793363,-0.29543919526911044
57,-0.32023349747245006,-0.3501836873660636,-0.24234478434370746
58,0.13022854555325528,0.09811217926144289,0.21757565126004128
59,0.2664498580749138,0.2327949593738807,0.34847178670293183
60,0.3656366293898812,0.33492334647677796,0.4626026073712336
61,-0.4429264868991112,-0.475155337461095,-0.345014729770899
62,-0.49913474869608554,-0.5416031201083356,-0.40282475985082505
63,0.32707989613683325,0.2934829998880498,0.42634347050952504
64,0.2595342697064582,0.22999877434406252,0.34865041235894145
65,-0.4438616988218125,-0.46772892356297646,-0.36124191360371977
66,-0.39321677625589124,-0.42589312167532173,-0.29744268397192125
67,0.19348591973127946,0.14989734985824243,0.30301785850312224
68,-0.39205930891119506,-0.434847675956363,-0.2901385785859037
69,-0.3513018639910665,-0.3773940809046741,-0.2812047889771664
70,-0.3529422520039288,-0.387100331111008,-0.2623449281365833
71,-0.3233440206040526,-0.35879176359461673,-0.23270277482135573
72,-0.35208367917228195,-0.3833102669501083,-0.25923014826330165
73,0.15551969076153235,0.12299282375802564,0.24196581615522933
74,-0.27325213762520734,-0.31392026306219184,-0.19111540743079936
75,-0.23588533857340938,-0.27305254850110616,-0.1000789459778609
76,-0.18942738081466592,-0.23946184868734893,-0.007309084585668029
77,-0.1640337761262506,-0.19690921346521653,-0.0675951917721171
78,0.017765537188657102,-0.018481436018219458,0.12481248617199701
79,0.05849409151993135,0.030099147651571616,0.13657404335835435
80,-0.26590001386678874,-0.3033143748074218,-0.1439354857214053
81,-0.22472296074899148,-0.2562501540856729,-0.1330872672950325
82,-0.20075016415778976,-0.23346221027244196,-0.11530243125176295
83,-0.2275162796072026,-0.2776192752198697,-0.07748001564754839
84,-0.12792952106171218,-0.1539078286064207,-0.05194774060068282
85,-0.09322220837503206,-0.12401009604089026,0.009647999747189445
86,-0.15858720521773656,-0.19388306692572588,-0.06464163353636694
87,-0.2276535987252955,-0.2797276250632277,-0.07948683798511044
88,0.0042751713985076925,-0.031937240622446024,0.11676429237570086
89,-0.42634101347633707,-0.4889968839500859,-0.25533649573223144
90,-0.045618848474352734,-0.07584007496645692,0.03934935997164693
91,-0.1286329101114765,-0.1602870099007629,-0.0464645208003631
92,-0.07830829145818614,-0.11149781051023402,0.016889963554023595
93,-0.10854236621968218,-0.14112977265691815,-0.0001380042373011238
94,-0.014679154308711705,-0.04561021054463769,0.08280459453721951
95,-0.04010953536804958,-0.06688627108163867,0.04768428158741932
96,-0.08646877170020312,-0.10947498381318724,-0.02405333928869358
97,-0.06400927650627769,-0.10100846663634247,0.020829464880786294
98,-0.03222535800827089,-0.05916326493753425,0.04546799552767959
99,-0.09330750890278398,-0.12512123124851465,-0.009467253971239402
100,-0.22516334790186857,-0.26650523187888153,-0.1329103621170261
101,0.021913101160954178,-0.006305396716220671,0.10288914006928233
102,-0.18066821987344167,-0.2201741796310964,-0.08924415508246591
103,-0.14979715246845582,-0.17900640824797126,-0.061372249524070395
104,-0.1826409440756467,-0.229875483461917,-0.06690041711152052
105,-0.1871936008380092,-0.21631552109039,-0.08724370375151748
106,-0.1969280730883471,-0.22916884380967983,-0.11576944823099827
107,-0.19014527062937311,-0.2243962979471725,-0.10367056984527603
108,-0.19341607729524796,-0.22249767228562672,-0.10889062158890635
109,-0.18895470234963213,-0.21663327640255403,-0.10461200937394079
110,-0.19003419490752363,-0.2223281211816489,-0.10111160212296677
111,-0.18381415369253123,-0.21530455537495152,-0.09336303343971622
112,-0.1623493619298684,-0.21179925174420253,-0.046263256417016035
113,-0.6310914949357924,-0.7076803041731795,-0.44815314026550457
114,-0.32283889104343627,-0.36820139297866095,-0.19554863079801837
115,-0.0988410550204901,-0.1551779012873458,0.047221530589677846
116,-0.15101949420041794,-0.18633379881503848,-0.06189231880057841
117,-0.17731523816794517,-0.2242194860443209,-0.019821369716092583
118,-0.06833328886708624,-0.10342050955369012,0.03662051544745749
119,0.03552962211117545,-0.0028298665588282063,0.15403625395358916
120,-0.000535056013725874,-0.029128447312135493,0.08824902531346686
121,-0.24230809870332343,-0.2778712453288472,-0.15333549560982618
122,0.027962354903847575,-0.005768832336492814,0.10824466693005018
123,0.026467879182533648,-0.004913849640775014,0.11986765679676589
124,-0.10257429542838262,-0.13609918053517991,-0.02569654757575554
125,-0.016350505422534772,-0.04789359443294,0.10385682920886764
126,-0.16572996363901943,-0.19988300007894216,-0.037527578512868066
127,0.038547421995077144,0.011062525866772456,0.13009584832636845
128,-0.014915235673171691,-0.04852756945031732,0.0780734996539203
129,-0.25376513344134344,-0.2924131285871927,-0.16290533473360946
130,-0.1399246391811026,-0.17237213644563734,-0.03289324345846571
131,-0.16522454428332856,-0.20462699623262842,-0.055425920566856406
132,-0.025609204082276182,-0.05977582758960427,0.06311325382927922
133,-0.0344463469898598,-0.06620947947806335,0.05794350786343765
134,0.03270408185104274,0.004601571623860767,0.11119830306637987
135,-0.06294394794285658,-0.09306177896987246,0.016197577169001536
136,-0.2335693985502625,-0.2658527312036867,-0.14467648185294607
137,-0.05212409355018575,-0.08866491530337237,0.04577529454535494
138,-0.12603101926963156,-0.1874758749539335,0.04121340683948426
139,-0.06759900421953134,-0.10841156533726454,0.06377314967023365
140,-0.14498214910035748,-0.1933093990109798,-0.016056471325989786
141,-0.18180653830853222,-0.21731494907387744,-0.084370111216689
142,-0.07722194627418623,-0.10285697947775649,0.005510015535790096
143,-0.18651417026299813,-0.2285599219711272,-0.03474664332544713
144,-0.10982005002484817,-0.14804792543141979,-0.017542332527473205
145,-0.05159400962416805,-0.08294171737160139,0.025911151101687246
146,-0.004652284906717155,-0.038645211943884275,0.08317212303355322
147,-0.026009566400311882,-0.06282201060516909,0.06324865547017106
148,-0.19434605033233024,-0.23144328504161535,-0.10690946749451434
149,-0.14827119867183602,-0.1838256431055657,-0.05342365354195928
150,-0.16473779978246317,-0.19212519096524577,-0.0739814104502235
151,-0.10477338544570315,-0.13951867932820322,-0.010983827576416267
152,-0.14004002293891207,-0.17299466103898098,-0.05047471525352506
153,-0.18308421228345784,-0.21800048204665654,-0.04479828173818087
154,0.017135547361941398,-0.02085412940244881,0.14092944542717234
155,-0.14133388068105263,-0.17472640198987607,-0.06466304739319105
156,-0.11033344649960714,-0.1390591193505145,-0.03486656682981942
157,-0.03991881895026663,-0.07447810047640402,0.04362316588843458
158,-0.07330356389334736,-0.10417583782477433,0.0040379835637198
159,-0.04508094390270992,-0.07696989504861845,0.06550502939037847
160,-0.23660449473019263,-0.26939802873361557,-0.11726902654155917
161,-0.0031931381932386155,-0.03610008991739583,0.0829433305174783
162,0.00596417159827921,-0.023886020309944724,0.09254130479230357
163,0.0774662786961179,0.047210763790378765,0.16909078778701198
164,-0.14503038151415418,-0.17057890988244778,-0.06332305354347871
165,-0.2047450051615301,-0.24870898970959482,-0.029549174809867587
166,-0.015283980067499718,-0.053011354219086114,0.07852731345777024
167,-0.073738430484433,-0.10882169786025478,0.015266026191460424
168,-0.09206309998472084,-0.11864833828660656,-0.017315942080030598
169,-0.14948211848122706,-0.20697920610531415,0.04285266486791241
